Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas;Classificação;Sigla_UF;Data
ÁSIA;5;Síria;53;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;0;Baixa;DF;2023-12-01
ÁSIA;5;Outros Países;56;Distrito Federal;7;Aéreo;1;2023;Fevereiro;2;1;Média;DF;2023-02-01
ÁSIA;5;Outros Países;56;Distrito Federal;7;Aéreo;1;2023;Junho;6;1;Média;DF;2023-06-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Outubro;10;1;Média;DF;2023-10-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Janeiro;1;10;Média;DF;2023-01-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Fevereiro;2;8;Média;DF;2023-02-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Marco;3;7;Média;DF;2023-03-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Abril;4;9;Média;DF;2023-04-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Maio;5;24;Média;DF;2023-05-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Junho;6;8;Média;DF;2023-06-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Julho;7;6;Média;DF;2023-07-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Agosto;8;5;Média;DF;2023-08-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Setembro;9;7;Média;DF;2023-09-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Outubro;10;7;Média;DF;2023-10-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Outubro;10;0;Baixa;DF;2023-10-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Novembro;11;12;Média;DF;2023-11-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Novembro;11;0;Baixa;DF;2023-11-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;29;Média;DF;2023-12-01
EUROPA;6;Suécia;85;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;0;Baixa;DF;2023-12-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Janeiro;1;68;Média;DF;2023-01-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Fevereiro;2;78;Média;DF;2023-02-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Marco;3;62;Média;DF;2023-03-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Abril;4;41;Média;DF;2023-04-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Maio;5;33;Média;DF;2023-05-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Junho;6;27;Média;DF;2023-06-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Julho;7;196;Alta;DF;2023-07-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Agosto;8;104;Alta;DF;2023-08-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Setembro;9;60;Média;DF;2023-09-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Outubro;10;56;Média;DF;2023-10-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Outubro;10;0;Baixa;DF;2023-10-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Novembro;11;35;Média;DF;2023-11-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Novembro;11;0;Baixa;DF;2023-11-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;110;Alta;DF;2023-12-01
EUROPA;6;Suíça;86;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;0;Baixa;DF;2023-12-01
AMÉRICA DO SUL;4;Suriname;35;Distrito Federal;7;Aéreo;1;2023;Janeiro;1;1;Média;DF;2023-01-01
AMÉRICA DO SUL;4;Suriname;35;Distrito Federal;7;Aéreo;1;2023;Fevereiro;2;1;Média;DF;2023-02-01
